id,title,content,rating
,Cực kì hài lòng,"Nhà sản xuất đóng gói sản phẩm rất cẩn thận, thời gian giao hàng hoàn toàn phù hợp với vị trí địa lý, tôi nhận được sản phẩm và hoàn toàn hài lòng về chất lượng dịch vụ. 5 sao!",5
,Cực kì hài lòng,"Cũng như mọi lần mua đồ giá trị cao trên tiki (TikiTrading thoii nhá). Ko bao giờ phải lo lắng về chất lượng, chỉ lo ko có xiền thoai -.-",5
,Cực kì hài lòng,"Sản phẩm chất lượng dễ dùng cảm thấy hài lòng giá cả cũng rẻ không quá mắc sẽ quay lại ủng hộ shop, giao hàng nhanh chóng.",5
,Cực kì hài lòng,Sp tốt. Tuy nhiên giao hàng không an toàn. Hộp hàng lúc giao tới bị méo mó.,5
,Rất không hài lòng,"Giao hàng chậm, micro máy bị lỗi, nhận cuộc gọi nói bên kia không nghe được.",1
,Cực kì hài lòng,Tiki giao nhanh hàng chuẩn. Ship thân thiện. Mỗi tội màu hồng trông ko khác gì màu trắng mấy :( màu kiểu hơi hồng tím. Mất công chờ đợi màu hồng mà thất vọng về màu thui chứ hàng chuẩn lắm nè,5
,Cực kì hài lòng,"Hàng chính hãng, nguyên seal, rẻ so với mua bên ngoài, tiếc là ko chuyển tiền sẳn qua ví moca nên bị huỷ 1 đơn ban đầu, đặt lại thì mất mã moca 1tr5!",5
,Cực kì hài lòng,"good, rất tốt, đủ 25 từ là đc nhận Astra : ))",5
,Cực kì hài lòng,Giao hàng nhanh chóng. Hàng chính hãng VN/A luôn.,5
,Cực kì hài lòng,"giao hàng nhanh chóng, hàng chính hãng giá tốt, màu đỏ quá đẹp đang chờ xem bên shop back có hoàn tiền ko  hàng nguyên seal chuẩn chính hãng",5
,Cực kì hài lòng,"Tiki mãi đỉnh, lun tin dùng mua đồ công nghệ ở tiki, đang xài thấy tốt, sau này sẽ đánh giá thêm
hàng nguyên sefl nguyên kiện xịn xò đẹp đẽ hết nấc",5
,Cực kì hài lòng,"Sản phẩm tốt, thời gian giao hành nhanh",5
,Cực kì hài lòng,"Máy full box, nguyên seal, giao hàng nhanh, đóng gói cẩn thận.
Mình săn được sale Black Friday và mã Moca nên mua được giá 23 triệu.

Cảm ơn Tiki có nguồn hàng khi các nơi khác không có màu hồng.",5
,Cực kì hài lòng,"Dùng iPhone mới rất thích, cảm giác nhẹ hẳn iPhone cũ. iOS 13 nhanh gọn. Tiki giao hàng chính hãng, xuất hóa đơn GTGT công ty, cẩn thận cấp mã OTP để xác nhận với Shipper mình đúng là chủ nhân của đơn hàng. Không lo bị mất iPhone.",5
,Cực kì hài lòng,"Hàng như mô tả, đóng gói kĩ càng, giao đúng hạn.",5
,Cực kì hài lòng,"Nhận hàng sớm hơn 1 tuần 
Rẻ hơn các cửa hàng bên ngoài offline
Hàng VN/A new 
Hiện đang sàu thấy rất Ok
Mau đồ điện tử trên tiki nhiều rồi nên cũng yên tâm.",5
,Cực kì hài lòng,Ok nguyên đai nguyên kiện,5
,Cực kì hài lòng,giao hàng đúng hẹn  đóng gói cẩn thận. hàng chính hàn vn a,5
,Cực kì hài lòng,"Lần thứ 2 mua đồ táo trên tiki rồi, màu hồng cưng lắm, từ 6s+ lên 13 là cả 1 chân trời mới. Mà sao đt tự kích hoạt ngày mua hàng luôn, ko cần liên hệ apple Việt Nam! Như airpods, đỡ ghê hehe",5
,Cực kì hài lòng,"Giao hàng nhanh thần tốc, máy đẹp nguyên seal. Màu xanh blue mình rất ưng. Anh shipper thân thiện. Cảm ơn tiki. Luôn tin tưởng vào chất lượng dịch vụ của Tiki.",5
,Cực kì hài lòng,"Máy mã VN/A, mở máy kích hoạt bảo hành đủ không thiếu ngày nào. Giao hàng đúng hạn. Hiện tại hài lòng về sản phẩm",5
,Cực kì hài lòng,"Giao hàng nhanh, đóng gói cẩn thận, cho kiểm tra hàng khi nhận , chất lượng tuyệt vời",5
,Cực kì hài lòng,"Máy rất đẹp , giao hàng rất nhanh chóng do mua trên tikinow. Chế độ bảo hành thì mua tiki trading là an tâm rồi. Hàng chính hãng. Để dùng thời gian xem chất lượng thế nào rồi đánh giá tiếp.",5
,Cực kì hài lòng,"Hàng nguyên seal, giao hàng nhanh
Cảm ơn Tiki.😍",5
,Cực kì hài lòng,"Giao hàng rất nhanh, đúng sản phẩm và đóng gói rất kỹ. Mua hàng giá trị nên mua trên Tiki Trading",5
,Bình thường,Khung viền màn hình không thật sự sát với màn hình khi đem so với hàng còn nguyên seal của Cellphones.,3
,Cực kì hài lòng,"Hàng VNA, imei check ok. Máy nhìn gọn và xịn xò. Rất rất ưng. Mua trả góp không mất phí chuyển đổi, lại còn được giảm thêm 320k do có voucher.",5
,Cực kì hài lòng,"Rất nhiều lần mình mua đồ điện tử trên Tiki và đều rất ưng. Sản phẩm iPhone thì khỏi cần review nữa.
Tiki giao hàng nhanh, đóng gói cẩn thận.",5
,Cực kì hài lòng,"Lần đầu mua điện thoại trên tiki mình cũng hơi lo lắng nhưng nhận hàng rất ok,đến nay sử dụng hơn 10 ngày mình rất hài lòng, giá mua tốt hơn ở cửa hàng nhiều. Thanks Tiki.",5
,Cực kì hài lòng,"cùng 1 vị trí trong nhà, thì iphone không kết nối được wifi, trong khi cái HTC android cũ lại bắt được sóng. Xưa giờ iPhone nào cũng bị. Chụp hình đẹp sáng đó, nhưng mà cái vấn nạn iPhone wifi bắt sóng kém quá.",5
,Cực kì hài lòng,Hàng dùng tốt. Màn hình hơi ám vàng nhẹ.,5
,Cực kì hài lòng,Điện thoại chính hãng nguyên seal giá tốt,5
,Cực kì hài lòng,"Mua được giá tốt, áp dụng mã moca thù còn tầm 21tr5 giá khá ổn so với ngoài hàng. Màu xanh này khá đẹp. Đặt hàng lúc 12h trưa thì 2h chiều đã ship, đúng nghĩa giao siêu tốc",5
,Cực kì hài lòng,"Hài lòng nhé cả nhà.có điều sao ko thấy cục sạc,tai phone gì cả.mua tặng người yêu cũ để được nâng cấp thành người yêu mới chứ mình chưa có duyên sở hữu lâu dài!",5
,Cực kì hài lòng,"máy chính hãng, siêu đẹp, siêu ưng, đóng gói kĩ cẩn thận, máy nguyên seal, chưa kích hoạt, lúc đặt hàng cũng hơi lo mà nhận xong thì thấy rất hài lòng nhé. giá mình mua là 22tr790",5
,Hài lòng,"Đã nhận hàng lúc sáng, thấy hộp bên ngoài bị móp méo hơi lo lắng, nhưng bên trong vẫn còn nguyên nha mọi người.",4
,Cực kì hài lòng,"Tiki bán hàng chính hãng, mua ngày Flashsale nên được giá tốt. Lần đầu tiên mua hàng công nghệ giá trị cao online nhưng rất hài lòng",5
,Cực kì hài lòng,"giao hàng nhanh, máy dùng ổn nhưng màn hình hơi vàng, mình tìm hiểu thì đây là do tuỳ từng lô chứ ko phải lỗi, nên đành chỉnh tay để bớt ám vàng 🥲",5
,Cực kì hài lòng,"Máy đặt giao 2h nhanh gọn lẹ, đắt hơn nơi khác tầm 1tr sau khi áp dụng chương trình giảm giá thẻ tín dụng nhưng quan trog là tốc độ ạ :D",5
,Cực kì hài lòng,"Giao hàng sớm hơn dụ kiến ( dự kiến thứ 2 mà thứ 7 đã nhận được). Sản phẩm được đóng gói cẩn thận. Điện thoại đúng như quản cáo( nguyên seal, chính hãng)",5
,Cực kì hài lòng,So far so good! It was for my daughter & she loves it. Thanks!,5
,Cực kì hài lòng,"Giao hàng nhanh, còn nguyên seal, màu xinh xẻo",5
,Cực kì hài lòng,Sản phẩm đẹp tốt mua tiki có mã giảm 1 tr nên rất ok. Tiki trading mong là hàng chính hãng,5
,Cực kì hài lòng,"Dịch vụ giao hàng nhanh, đóng gói cẩn thận và giá rẻ hơn ngoài cửa hàng.",5
,Cực kì hài lòng,Quá chất lượng 👍,5
,Cực kì hài lòng,Mặc dù mình chọn giao thường nhưng đặt tối thì trưa đã nhận được hàng. Hộp đóng gói an toàn và hiện tại xài đang ổn. Lần đầu mua và rất hài lòng.,5
,Rất không hài lòng,Sản phẩm lỗi của nhà sản xuất nhưng Tiki xử lý rất lâu và rườm rà. Hơn 1 tuần rồi vẫn chưa xử lí xong. Rất rất rất rất rất bực mình và khó chịu!!!!!,1
,Rất không hài lòng,"Do lỗi app nên đặt bị sai màu, không hỗ trợ đổi màu dù liên hệ ngay với tổng đài sau khi đặt. Đổ lỗi cho khách hàng chứ không tìm hướng xử lý hỗ trợ khách hàng",1
,Rất không hài lòng,"Hôm nay nghi ngờ mở ra testt áp thì bị mất áp suất => không còn khả năng chống nước nữa, ko biết có bị mở máy k chưa, có bị thay thế linh kiện j bên trong ko",1
,Cực kì hài lòng,Máy chuẩn hàng chính hãng VN/A nguyên seal chưa active. Thời gian giao hàng nhanh. Giá hợp lý có mã giảm giá của grab thanh toán qua ví moca nên rẻ hơn so với các shop,5
,Cực kì hài lòng,"Giao nhanh trong ngày, đóng gói siêu siêu cẩn thận, highly recommend khi mua đồ điện tử giá trị cao trên Tiki 💙💙💙",5
,Cực kì hài lòng,"giao hàng nhanh như tiki trading, giá ổn, hàng chính hãng VN khỏi chê vào đâu được, tính mua ip12 mà trả góp mất phí nên xơi luôn 13 0% lãi suất ko phí ngon ơ",5
,Cực kì hài lòng,Đẹp,5
,Cực kì hài lòng,"Giao nhanh, đóng gói cẩn thận, team seal nguyên vẹn
Mình mua đợt 12/12 đc giảm giá còn đc áp coupon và khuyến mãi hoàn 3 triệu từ thẻ Sacombank-Tiki nữa 🥰🥰",5
,Hài lòng,"Giá săn sale 12/12 khá ổn cho màu Hồng là 24tr sau khi thanh toán qua ví moca. Hàng giá trị cao nhưng đóng gói quá sơ sài, không có bọc chống sốc. Hi vọng tiki cải thiện để khách hàng an tâm hơn.",4
,Cực kì hài lòng,"Còn mới nguyên. Sản phẩm chính hãng, giao hàng rất chuyên nghiệp, xài máy rất mướt ,",5
,Cực kì hài lòng,"Đt đẹp, giao hàng tầm 5 ngày. mình săn sale giảm dc 450k còn 21tr5. Xài k ốp hơi nóng tẹo mà chụp ảnh đẹp lắm",5
,Cực kì hài lòng,Chất lượng tốt và Seal của Tiki rất đẹp. TIKI Giao hàng rất nhanh không có gì để chê,5
,Cực kì hài lòng,ok,5
,Cực kì hài lòng,"Tiki giao nhanh, mình đặt giao thường mà cũng chỉ tầm 1 tuần là tới. Hàng có seal đầy đủ",5
,Cực kì hài lòng,"Điện thoại chuẩn chính hãng, nguyên seal, giá tốt giao siêu tốc - tiki now mãi tuyệt vời",5
,Cực kì hài lòng,"Tiki giao hàng rất nhanh, chỉ 2 tiếng sau khi đặt đơn. Lần đầu đặt đơn hàng giá trị lớn online cũng hơi lo lắng. 
Nhận hàng nguyên seal, máy rất đẹp, rất hài lòng về dịch vụ và sản phẩm",5
,Rất không hài lòng,"hàng hóa giá trị cao mà như gói đống rác
nhận hàng sốc luôn nát bem
không biết ip của mình có bị hư gì ko
shipper còn kêu ko biết iphone qua từ trong kho ra",1
,Cực kì hài lòng,"Sản phẩm giao nhanh siêu tốc, săn đc giá rẻ vô cùng hời ạ. 10 điểm cho Tiki",5
,Cực kì hài lòng,Được giải đáp thông tin bảo hành cụ thể. Lần đầu mua hàng giá trị cao là Iphone trên Tiki do thấy nhiều đánh giá tốt.,5
,Cực kì hài lòng,"Máy màu xanh rất đẹp, TIKI giao hàng rất nhanh, cẩn thận. Mình mua tặng vợ, nàng thích lắm!",5
,Cực kì hài lòng,,5
,Rất không hài lòng,Giao hàng chậm so với ngày dự kiến giao. Nhân viên chăm sóc khách hàng không nhiệt tình. Khuyến khích khách trả hàng hoàn tiền. Thấy thất vọng tràn trề,1
,Cực kì hài lòng,"Nguyen seal, mây đẹp giao hàng nhanh, giá cả ổn đinh, còn gì nũa ko ta, thôi kệ vậy dc rồi ah. Thuỏng 1000 nhé Tiki",5
,Cực kì hài lòng,"Nguyen seal, mây đẹp giao hàng nhanh, giá cả ổn đinh, còn gì nũa ko ta, thôi kệ vậy dc rồi ah. Thuỏng 1000 nhé Tiki",5
,Cực kì hài lòng,"Sản phẩm chính hãng , chất lượng như đăng bán, giao hàng nhanh, mua giá ưu đãi nhiều so với ra cửa hàng TGDD, Vtell, FBT",5
,Cực kì hài lòng,"Giao nhanh, máy đẹp , đóng gói chắc chắn",5
,Cực kì hài lòng,Quá ngon và mượt. Sản phẩm của tiki trending luôn tốt!,5
,Cực kì hài lòng,"Máy đẹp, đóng gói cẩn thận. Là một ifan tầm thường thì mình k có gì chê ip13 cả. Tay mình to nhưng vẫn xài đc một tay. Chụp ảnh thật, màu sắc chân thật. Pin siêu khủng",5
,Cực kì hài lòng,"Đt dùng mượt mà, nay nhận được tbao hoàn tiền từ shopback 700k nữa hihi. Mn nên tải shopback để đc hoàn tiền nhé. Nhập mã gt của mình ở shopback để được nhận thêm quà nè: Oj1lOs",5
,Cực kì hài lòng,"Shop đóng gói cản thận, nhưng giao hàng khá lâu, sản phẩm chất lượng 👍👍",5
,Cực kì hài lòng,"Chất lượng đảm bảo, dễ cài đặt",5
,Cực kì hài lòng,"Nghĩ sao nửa đêm thức dậy tìm không thấy, đến gần 7h sáng dậy thấy còn đúng 1 cái. Ngon ngon, giao nhanh, 9h là có rồi.",5
,Cực kì hài lòng,"Đt đẹp, mua tiki thì yên tâm r, làm việc nhanh nhẹn",5
,Cực kì hài lòng,"Tiki giao nhanh đóng gói hàng niêm phong chắc chắn. Sản phẩm không bị lỗi lầm gì, trước cũng mua ip 11 trên tiki rồi nên ko có gì phải lăn tăn",5
,Cực kì hài lòng,"Dùng thử thấy khá mượt, camera chụp rất nét,tai thỏ nhỏ hơn con 12 chút chứ mình thấy 12 or 13 đều good.",5
,Cực kì hài lòng,"Hàng giao nhanh, đóng gói cẩn thận, an toàn.
Máy chính hãng mã VNA nên ko phải lo về bảo hành.
Màu xanh khá đẹp ^^",5
,Cực kì hài lòng,"Điện thoại chính hãng, giao hàng nhanh và tận tâm. Thích ở tiki là do khui thùng kiểm tra sản phẩm ngay. Rất yên tâm khi đặt hàng của tiki trading",5
,Rất không hài lòng,Giao hành trễ mấy ngày dù chỉ giao trong TPHCM. Không đúng hẹn làm khách hàng không sắp xếp thời gian để nhận hàng được. Càng ngày càng thất vọng về dịch vụ của Tiki,1
,Cực kì hài lòng,"hồi trước giờ sợ hem dám mua iphone online. Thấy sales con 13 256G này còn 22 củ, hốt liền, nhận hang nhanh á.",5
,Cực kì hài lòng,giao hàng khá nhanh. Hộp của tiki không tốt lắm nên tới tay bị rách mọi người nên quay video lại lúc nhận hàng và kiểm tra.,5
,Cực kì hài lòng,"Hàng đẹp long lanh, giao siêu nhanh, dự kiến hơn 1 tuần mà ngày hôm sau giao rồi. Gần như không phải đợi. Iphone thì không phải nói nhiều rồi. Nguyên tem",5
,Cực kì hài lòng,,5
,Cực kì hài lòng,"Tiki giao siêu tốc trong vòng 2h , máy đẹp gọn cầm vừa tay, hi vọng dùng không bị lỗi gì",5
,Cực kì hài lòng,Máy đẹp. Khung nhôm nên rất nhẹ cầm nắm dễ chịu không như máy khung thép. Pin lâu hơn hẳn so với các đời trước. Cam chụp đêm rất ổn.,5
,Cực kì hài lòng,Quá tuyệt vời mua ip256gb mà giảm 23tr990 còn giảm vc thêm 600k trả góp 0% 12M nữa chứ. Hàng k phải bàn nhé,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,"Đặt 0h ngày 22, ở Đồng Nai ngày 27 nhận được hàng, được voucher giảm 1tr5 của Tiki, được giảm thêm 2tr từ ưu đãi của Citibank, tổng còn 23tr990 :)",5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,Màu hường ô kê lắm!,5
,Cực kì hài lòng,"Máy mới đẹp, ở tỉnh giao hơi lâu",5
,Cực kì hài lòng,trước giờ toàn mua điện thoại trên tiki trading,5
,Cực kì hài lòng,Máy tốt quá lun giao hàng  đóng gói cẩn thận,5
,Hài lòng,Tiki giao hàng nhanh hơn dự kiến. Khi mở ra hơi sốc vì hàng giá trị nhưng lại chống sốc sơ xài bằng giấy.,4
,Cực kì hài lòng,"Giao hàng siêu siêu tốc, máy nguyên seal chưa active, bạn shiper cũng rất dễ thương có check OTP và đồng kiểm nên không gì lăn tăn cả",5
,Cực kì hài lòng,Yên tâm đặt hàng ở Tiki Trading,5
,Cực kì hài lòng,"quả táo khỏi phải nói
giao hàng nhanh hơn dự kiến
chưa đc dùng nên k có gì để bàn về chất lượng sản phẩm",5
,Cực kì hài lòng,,5
,Cực kì hài lòng,"Mình đặt 23h mà 8h sáng hôm sau là có hàng rồi.   Rất hài lòng với dịch vụ của Tiki, sau khi đc giảm giá và SB thì mình mua đc vs giá 22,3tr",5
,Cực kì hài lòng,Giao hàng nhanh. Uy tín. Nhớ mua kèm đầu sạc nha mọi người. Hàng chỉ có máy và dây sạc,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,Hàng chính hàng xài tốt,5
,Cực kì hài lòng,"Hàng chính hãng, giao nhanh chóng, màu hồng rất đẹp. Mình dùng 1 tháng rồi máy ko có vấn đề gì cả. 5*",5
,Cực kì hài lòng,"Giá tốt hơn thị trường, giao hàng nhanh 2 tiếng tuy nhiên mua mắc vậy mà lại tốn phí vận chuyển. Máy đẹp hàng chính hãng đã check series.",5
,Cực kì hài lòng,,5
,Cực kì hài lòng,Sản phẩm chính hãng.,5
,Cực kì hài lòng,"mua hơn 1 tháng nay, và dùng chưa có sự cố gì. ổn nhé mọi người",5
,Cực kì hài lòng,,5
,Cực kì hài lòng,"10 điểm giao hàng nhanh, kĩ lưỡng. Mình mua tặng, chưa active nên chưa biết hàng ntn. Nhưng tin tưởng vì đã mua 1 con ip năm ngoái rồi.",5
,Cực kì hài lòng,"Mua dc bản xanh lá với giá 20 củ, khá thơm, cơ mà apple bán đt mắc vãi",5
,Cực kì hài lòng,"Giao hàng đúng giờ, máy đẹp, giá rẻ hơn store, hàng chính hãng",5
,Cực kì hài lòng,"Hàng chuẩn xịn, cảm ơn tiki nhiều.",5
,Cực kì hài lòng,"Có tikinow nên giao nhanh đúng hẹn, gói kĩ rất đẹp",5
,Rất không hài lòng,"Hộp giao đến k seal
máy bóc ra dùng dc 1 ngày đã đơ lag
kinh khủng",1
,Cực kì hài lòng,"Hàng xịn màu đỏ quá đẹp, Tiki giao đúng hạn nữa. 5 sao cho Tiki nha",5
,Cực kì hài lòng,Giao hàng đúng mô tả sản phẩm - bản VNA - team niêm phong nguyên vẹn - rất tin tưởng vào Tiki - đóng gói chất lượng . Giao hàng nhanh chóng .,5
,Cực kì hài lòng,"Giao hàng nhanh đúng hẹn , đóng gói hơi sơ xài, giá 256GB săn sale chỉ có 23tr7 , cảm ơn nhà tài trợ tiki",5
,Hài lòng,"Máy đẹp mà tiki giao chậm, chăm sóc khách hàng mình thấy chưa tốt, nhân viên tiếp nhận thông tin mà ko có action gì hỗ trợ khách",4
,Cực kì hài lòng,"Lần thứ 2 mua sp, đúng là chưa bao giờ thất vọng về dịch vụ TikiNow của Tiki, 8H23' đã nhận được cuộc gọi từ shipper giao hàng.",5
,Cực kì hài lòng,"Giao hàng nhanh hơn so với dự kiến, hàng nguyên đai nguyên kiện, mua ở tiki các mặt hàng có giá trị rất là yên tâm, iphone 13 mày trắng ở ngoài rất đẹp luôn nha các bạn",5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,"Sản phẩm tốt, mua dc giá 0đ nên ko đòi hỏi nhiều",5
,Cực kì hài lòng,"Máy mới nguyên seal mã vna, đẹp lắm nha, lần đầu tiên mua hàng có giá trị trên tiki mà hài lòng lắm",5
,Cực kì hài lòng,"Giao hang nhanh, dong goi kha can than, se tiep tuc muc/ung ho tiep. Cam on dich vu giao hang cua TED! Se mua tiep nua nha ban. Cam on nhieu nhieu ban a! Thanks so much a!",5
,Cực kì hài lòng,"Giao hàng nhanh, Đóng gói cẩn thận, hàng chính hãng VN/A",5
,Cực kì hài lòng,Hàng tiki mãi chất lượng,5
,Cực kì hài lòng,"Màu hồng thật sự đẹp dễ chịu lắm luôn, ai chê chứ mình rất thích. Gửi từ Hà Nội vào Sài Gòn Cũng nhanh chắc do hàng giá trị cao",5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Hài lòng,"Giao hàng trể hơn dự kiến.
Sản phẩm ok, đóng gói cẩn thận.",4
,Cực kì hài lòng,"Nguyên seal, không một vết xước. Tiki vận chuyển hàng rất tốt",5
,Cực kì hài lòng,"Máy chưa active 
Dán tem tiki
Giao nhanh tiki now 1h
Gói kĩ",5
,Hài lòng,DÙng ổn chưa vấn đề gì,4
,Cực kì hài lòng,Hàng tiki không cần bàn,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,"Điện thoại mua đúng hình, mua vào dịp black Friday nên giá cũng mềm. xài cũng tạm, chính hãng VN/A. giao hàng sớm trước hẹn 3 ngày",5
,Cực kì hài lòng,"Giao hàng nhanh, check imei trên hộp và trên máy ok.",5
,Cực kì hài lòng,"Giao hàng đúng ngày dự kiến 
Máy full box , đẹp xuất sắc",5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,"rất tốt luôn, ảnh klq vì đang cầm máy đánh giá luôn rồi. gói hàng cẩn thận, ship hơi lâu thui",5
,Cực kì hài lòng,"Hàng đóng gói cẩn thận, giao nhanh. Nói chung mua đồ giá trị cao từ Tiki Official thì rất yên tâm vì có quy trình giao hàng riêng rất tốt",5
,Cực kì hài lòng,"Sale giao nhanh trong buổi sáng.
Được mã BlackFriday và hoàn tiền qua ứng dụng của BackPay.vn",5
,Cực kì hài lòng,,5
,Cực kì hài lòng,giao hàng nhanh. hàng chuẩn chất lượng. mua đồ điện tử của Tiki yên tâm hơn vì có Tikinow. cảm ơn Tiki nhìu. iuuuuu. 💓,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,"Giao hàng nhanh, rất yên tâm khi mua trên tiki.",5
,Cực kì hài lòng,"đặt thứ 4 ngày 3, mà lại hẹn lịch giao tới thứ 2 ngày 15. Ban đầu nhìn ko kĩ, định trả hàng như thứ 2 ngày 8 đã giao nên ok",5
,Cực kì hài lòng,"Canh mãi mua đc 1 chiếc màu hồng đúng ý luôn. Tiki ship đơn của mình hơi lâu hơn dự định 1 chút, nhưng vẫn rất đáng đợi nhé.",5
,Cực kì hài lòng,"Máy đẹp, nguyên seal, thời gian bảo hành chính hãng đúng.",5
,Cực kì hài lòng,"Điện thoại tốt, mới, xài 1 tuần okie, chưa thấy có lỗi gì",5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,sản phẩm ok,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,Lần thứ 2 mua điện thoại trên tikitrade. Ko có gì để lo lắng cả. Rẻ hơn ở cửa hàng phần phí quẹt thẻ và phí góp.,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,"Sản phẩm tốt, mua được km tốt, hàng giá trị mua trên sàn chỉ tin tưởng tikitrading",5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,"Quá hài lòng về dịch vụ giao hàng và chất lượng sản phẩm, đặt hàng lúc 4h nhưng 6h30 đã nhận được sản phẩm.",5
,Cực kì hài lòng,"Lần đầu mua điện thoại trên tiki thấy rất ok, sản phẩm nguyên seal chưa kích hoạt.",5
,Cực kì hài lòng,,5
,Cực kì hài lòng,"Máy nguyên seal, full box. Mở máy mới kích hoạt bảo hành. Hàng chính hãng VN. Giao hàng đúng hẹn. Lần đầu mua hàng giá trị cao trên tiki. Quá good 👍 👍 👍",5
,Cực kì hài lòng,,5
,Rất không hài lòng,"tiki lừa dối khách hàng, mua hàng xong không hoàn astra",1
,Hài lòng,,4
,Cực kì hài lòng,Con hàng chất lượng,5
,Cực kì hài lòng,Giao đúng hẹn luôn. Mở hộp thấy yên tâm dễ sợ. Đóng gói ổn lắm luôn. Check imei chuẩn luôn. Màu xanh đẹp dễ sọn,5
,Cực kì hài lòng,"Sp ok nha, tiki giao nhanh",5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,"Hàng Tikitrading nên yên tâm, giao nhanh, giá ngon giảm thêm thẻ tín dụng sacom và xu tiki chỉ còn 19tr. Quá hời :D",5
,Cực kì hài lòng,,5
,Cực kì hài lòng,Mua đt lần thứ 2 trên tiki rồi. Hàng chính hãng giao nhanh đóng gói cẩn thận,5
,Cực kì hài lòng,,5
,Rất không hài lòng,"Giao sai màu, không biết tại sao nfc không dùng được",1
,Cực kì hài lòng,"đúng miêu tả, nguyên seal",5
,Cực kì hài lòng,"Sp đc đóng gói cẩn thận, tiki gh nhanh",5
,Cực kì hài lòng,"Lần đầu mua hàng giá trị cao nhưng luôn tin tưởng tôi. Săn và giá ổn, giao hàng siêu nhanh. iPhone 13 k có gì để chê",5
,Cực kì hài lòng,"Đẹp, nhẹ, gói hàng cẩn thận, giao hàng nhanh",5
,Cực kì hài lòng,,5
,Cực kì hài lòng,"Mua iphone lần 2 trên tiki. Hàng giao nhanh, chính hãng, chất lượng",5
,Cực kì hài lòng,"Sản phẩm chính hãng chưa kích hoạt, dùng rất tốt.",5
,Cực kì hài lòng,Đóng gói cẩn thận giao hàng sớm hơn 3 ngày,5
,Cực kì hài lòng,Luôn yên tâm về việc mua hàng điện tử ở tiki,5
,Cực kì hài lòng,"Máy rất đẹp, chỉ mỗi tội mua về tặng mà vợ không thích. Ae kv HN, BN cần mình để lại cho nhé (0tám65,476,936)",5
,Cực kì hài lòng,"Giao hàng nhanh hơn dự kiến, máy chưa kích hoạt chính hãng việt nam, có hoá đơn điện từ tiện cho bào hành sau này",5
,Cực kì hài lòng,"Đúng sản phẩm, tiki trading giao đúng hạn, lịch sự. đang trải nghiệm, hài lòng",5
,Cực kì hài lòng,"điện thoại đẹp, giao nhanh, chỉ 2 tiếng là có, mẫu mã chính hãng, mua của tiki trading thì yên tâm.",5
,Cực kì hài lòng,"Máy rất đẹp, giao hàng rất nhanh chóng do mua tiki now. Hàng chính hãng, đúng màu. Chế độ bảo hành yên tâm.",5
,Cực kì hài lòng,"Tiki giao hàng nhanh, đóng gói cẩn thận, giá tốt hơn nhiều so với các shop khác",5
,Cực kì hài lòng,"Dt giao nhanh. Đẹp và hàng chính hãng. 
Dùng thử mới biết
Tuy là mua hộ.nhưng cũng đánh giá cao tiki trading",5
,Cực kì hài lòng,"Máy tốt chính hãng vn/a, phù hợp nhu cầu sử dụng cơ bản của cá nhân",5
,Cực kì hài lòng,Tiki giao nhanh. đặt giao từ Hà Nội vô Hồ Chí Minh mà mất 3 ngày thôi. xài ổn ko gặp trục trặc. mãi iu :)),5
,Bình thường,"Giao hàng nhanh, đóng gói cẩn thận",3
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,"Mình đợi ở store hơn 1 tháng chưa có màu hồng, may sao lên Tiki có màu hồng dứt luôn 😊😊, đợi khoảng hơn 2h có máy. Đúng xinhh luôn ạ",5
,Cực kì hài lòng,"Giao nhanh, đóng gói cẩn thận",5
,Hài lòng,,4
,Cực kì hài lòng,Giao nhanh uy tín cực kỳ hài lòng với tiki luôn! Lần đầu mua đt trên sàn thương mại điện tử!,5
,Cực kì hài lòng,"Ảnh chụp bằng ip13 luôn, hàng ship nhanh chóng uy tín chất lượng. Lần đầu mua qua app mà khá hài lòng",5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,"Giao nhanh 2H trời mưa tiki bọc bóng cẩn thận, mua hàng ở tiki thì bao uy tín rồi , k cần bóc cũng đánh giá dc ahihi",5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,Ok,5
